Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2015-01-04,113.06,118.73,89.72,89.94
2015-01-05,115.14,119.8,92.8,92.54
2015-01-06,116.66,120.84,93.23,92.15
2015-01-07,117.05,120.63,92.46,90.46
2015-01-09,111.7,109.86,84.87,86.24
2015-01-10,109.45,110.26,83.54,85.72
2015-01-12,107.55,109.86,82.64,82.16
2015-02-01,112.08,118.74,83.13,87.96
2015-02-02,106.39,113.42,84.81,88.24
2015-02-03,109.95,116.65,88.07,91.18
2015-02-04,113.01,118.68,89.22,89.14
2015-02-06,116.75,120.93,92.97,92.28
2015-02-07,117.09,120.64,93.14,90.62
2015-02-09,111.7,109.86,84.51,85.83
2015-02-10,109.31,110.19,82.58,84.93
2015-02-11,107.67,109.77,83.41,84.54
2015-02-12,107.44,109.89,82,81.84
2015-03-02,106.47,113.59,85.4,89.25
2015-03-03,110.12,116.85,88.3,91.27
2015-03-06,116.83,120.97,92.84,91.65
2015-03-07,117.07,120.63,93.27,89.55
2015-03-08,116.38,115.24,89.5,85.07
2015-03-09,111.5,109.91,86.3,87.24
2015-03-11,108.01,110.08,84.1,85.27
2015-03-12,106.72,109.34,81.57,81.89
2015-04-02,106.09,113.29,84.87,89.02
2015-04-03,110.4,117.09,88.13,90.73
2015-04-06,116.8,120.89,92.29,90.63
2015-04-08,116.33,115.18,89.46,85.1
2015-04-09,111.32,109.82,85.62,86.62
2015-04-11,107.72,109.84,84.12,84.83
2015-04-12,106.37,109.18,80.87,81.86
2015-05-01,111.37,118.23,82.35,87.29
2015-05-02,106.65,113.65,85.04,89.34
2015-05-03,110.53,117.15,88.43,91.15
2015-05-05,115.26,119.81,93.6,93.75
2015-05-06,116.8,120.89,92.63,90.82
2015-05-08,116.23,115.03,89.2,85.05
2015-05-10,109.3,110.24,83.99,86.23
2015-05-11,107.77,109.95,84.29,84.84
2015-06-01,111.34,118.31,82.25,87.1
2015-06-02,106.37,113.43,85.54,89.76
2015-06-03,110.69,117.31,88.93,91.53
2015-06-05,115.39,119.9,92.98,93.63
2015-06-07,117.07,120.45,93.12,88.65
2015-06-08,116.12,114.83,88.72,84.85
2015-06-10,109.3,110.24,84.75,86.78
2015-06-11,107.83,109.96,84.51,85.1
2015-07-01,110.35,117.54,82.03,86.71
2015-07-04,113.15,118.77,90.14,90.22
2015-07-05,115.61,120.02,91.98,92.92
2015-07-07,117.11,120.51,93.36,88.03
2015-07-08,115.97,114.62,88.47,85.12
2015-07-09,111.25,109.76,84.63,85.6
2015-07-10,109.31,110.35,84.35,86.46
2015-07-12,107.21,109.55,80.6,80.66
2015-08-01,109.8,117,82.21,86.9
2015-08-04,113.18,118.84,89.3,89.41
2015-08-05,115.78,120.14,91.43,91.74
2015-08-06,116.8,120.82,92.86,91.01
2015-08-07,117.12,120.45,94.49,88.45
2015-08-09,111.25,109.99,84.97,86.09
2015-08-10,109.26,110.34,84.31,86.33
2015-08-12,107.12,109.64,80.76,80.38
2015-09-01,109.6,116.72,81.83,86.34
2015-09-02,107.01,113.87,86.44,90.59
2015-09-03,110.93,117.4,89.11,91.05
2015-09-04,113.2,118.81,89.33,89.63
2015-09-06,116.8,120.82,93.59,91.76
2015-09-07,116.49,119.82,94.3,89.06
2015-09-09,111.23,110.15,84.78,85.63
2015-09-10,109.35,110.49,84.19,86.37
2015-09-11,107.74,109.92,84.32,84.96
2015-09-12,106.88,109.4,80.91,79.87
2015-10-02,107.21,114.09,85.87,89.88
2015-10-03,111.07,117.58,88.11,90.14
2015-10-04,113.27,118.82,89.81,90.53
2015-10-06,116.87,120.87,94.02,91.71
2015-10-07,117.1,119.78,93.19,88.61
2015-10-08,115.58,113.77,88.36,85.68
2015-10-09,111.15,110.05,85.01,85.55
2015-10-11,107.86,110.04,83.99,85.03
2015-10-12,106.34,108.88,81.99,79.48
2015-11-02,107.46,114.37,85.4,89.35
2015-11-03,111.38,117.78,88.72,90.38
2015-11-05,115.9,120.25,90.85,91.26
2015-11-06,116.97,120.95,94.08,91.51
2015-11-08,115.7,113.53,87.2,85.06
2015-11-09,111.22,110.27,84.49,85.36
2015-11-11,106.92,109.5,83.56,84.21
2015-11-12,106.15,108.73,81.72,78.06
2015-12-01,108.9,115.98,81.44,85.98
2015-12-02,107.66,114.5,86.03,90.27
2015-12-03,111.46,117.85,88.99,89.99
2015-12-05,116.05,120.37,91.47,92.03
2015-12-06,116.97,120.95,93.73,91.15
2015-12-08,115.24,112.95,87.92,85.32
2015-12-10,109.29,110.51,83.98,85.75
2015-12-11,107.96,110.15,82.79,83.69
2016-01-01,108.91,116.11,80.6,85.25
2016-01-02,101.27,100.19,80.37,77.37
2016-01-03,101.92,101.36,77.44,79.43
2016-01-04,105.64,105.41,83.69,79.98
2016-01-05,116.14,120.41,91.69,92.29
2016-01-06,110.69,110.73,86.88,85.85
2016-01-07,112.2,112.47,87.14,87.43
2016-01-08,111.17,112.04,83.43,82.95
2016-01-09,111.59,112.92,84.52,85.75
2016-01-10,109.35,110.69,83.42,84.91
2016-01-11,116.85,118.77,88.86,90.69
2016-01-12,113.37,115.95,90.13,91.96
2016-02-01,108.12,115.55,80.75,85.21
2016-02-02,102.09,101.11,78.98,76.97
2016-02-03,101.65,101.31,77.98,79.76
2016-02-04,113.29,118.83,90.27,90.67
2016-02-05,116.2,120.51,91.63,92.23
2016-02-06,110.9,110.94,87.12,86.08
2016-02-07,117.24,119.33,91.71,88.22
2016-02-08,110.8,111.66,83.5,82.8
2016-02-09,111.72,112.94,84.96,86.34
2016-02-10,109.26,110.74,82.64,84.21
2016-02-11,116.77,118.76,88.23,89.47
2016-02-12,114.24,116.56,89.83,91.99
2016-03-01,107.76,115.06,81.65,86.07
2016-03-02,102.28,101.17,78.35,77.5
2016-03-03,101.91,101.56,79.04,79.57
2016-03-04,113.36,118.85,91.45,91.54
2016-03-05,108.67,108.49,84.53,82.71
2016-03-06,111.13,111.11,86.35,85.6
2016-03-07,117.25,119.12,90.5,87.83
2016-03-08,110.54,111.46,83.67,83.29
2016-03-09,111.16,110.41,83.43,84.59
2016-03-10,112.36,113.63,88.51,89.73
2016-03-11,116.95,118.9,88.46,89.04
2016-03-12,104.37,107.72,80.97,78.48
2016-04-01,102.69,105.99,82.12,78.64
2016-04-02,102.25,101.19,79.32,78.04
2016-04-03,101.96,101.57,79.27,79.95
2016-04-04,105.75,105.55,83.37,79.39
2016-04-05,108.71,108.59,84.75,82.87
2016-04-06,117.19,121,93.7,90.68
2016-04-07,112.3,112.58,87.01,87.33
2016-04-08,110.32,111.23,84.58,83.87
2016-04-09,110.96,110.31,84.19,85.38
2016-04-10,112.52,113.78,89.92,90.48
2016-04-11,116.93,118.7,86.62,88.53
2016-04-12,104.1,107.45,80.56,78.23
2016-05-01,102.82,104.69,82.01,78.85
2016-05-02,102.08,101.08,78.82,77.81
2016-05-03,111.92,118.19,87.8,88.75
2016-05-04,105.84,105.64,83.52,78.87
2016-05-05,108.78,108.69,84.72,83.16
2016-05-06,116.71,120.56,93.4,90.86
2016-05-07,112.29,112.6,86.17,86.94
2016-05-08,109.96,110.79,84.97,84.33
2016-05-09,111.71,113.04,85.12,86.55
2016-05-10,112.62,113.88,89.56,91.07
2016-05-11,108.01,110.24,81.66,83.1
2016-05-12,114.45,116.76,89.76,92.06
2016-06-01,102.8,104.27,80.96,78.2
2016-06-02,108.6,115.39,86.21,90.76
2016-06-03,112.02,118.26,88.75,89.53
2016-06-04,106.02,105.74,83.93,79.82
2016-06-05,108.8,108.67,84.8,83.31
2016-06-06,111.21,111.25,86.43,85.79
2016-06-07,112.28,112.7,85.92,87.1
2016-06-08,114.84,111.93,86.32,84.98
2016-06-09,111.62,112.99,84.75,85.99
2016-06-10,112.99,114.2,89.95,91.61
2016-06-11,108.03,110.26,81.67,83.07
2016-06-12,114.67,117.06,89.37,91.6
2016-07-01,102.92,103.98,81.02,78.28
2016-07-02,108.83,115.61,86.02,90.41
2016-07-03,102.05,102,80.16,81.03
2016-07-04,106.08,105.81,83.46,79.49
2016-07-05,116.42,120.7,91.43,91.58
2016-07-06,111.25,111.35,86.05,86.19
2016-07-07,112.33,112.76,85.79,87.18
2016-07-08,114.79,111.69,85.53,84.57
2016-07-09,111.76,113.03,85.58,86.38
2016-07-10,113.35,114.62,90.87,91.97
2016-07-11,116.84,118.74,86.57,88.88
2016-07-12,114.7,117.14,89.53,91.83
2016-08-01,102.79,103.71,80.09,77.21
2016-08-02,102.14,100.93,78.2,77.87
2016-08-03,102.15,102.22,80.6,81.21
2016-08-04,106.34,105.84,85.02,81.23
2016-08-05,116.48,120.77,91.62,91.49
2016-08-06,111.41,111.45,86.34,86.71
2016-08-07,112.29,112.72,85.2,86.64
2016-08-08,109.96,110.89,85.46,85.2
2016-08-09,111.74,113.05,87.75,87.53
2016-08-10,109.21,110.96,81.85,83.71
2016-08-11,116.88,118.71,86.8,89.03
2016-08-12,114.89,117.28,89.39,91.88
2016-09-01,107,114.22,81.57,85.88
2016-09-02,102.11,101.18,77.02,76.61
2016-09-03,102.19,102.5,81.62,81.36
2016-09-04,113.91,119.1,91.4,91.53
2016-09-05,108.95,108.82,84.04,82.25
2016-09-06,111.41,111.55,86.8,86.58
2016-09-07,117.1,118.33,90.63,87.38
2016-09-08,109.89,110.84,85.26,85.46
2016-09-09,111.84,112.94,87.03,87.14
2016-09-10,109.15,110.88,81.99,83.81
2016-09-11,116.76,118.64,86.37,88.82
2016-09-12,115.01,117.39,89.4,92.21
2016-10-01,106.88,114.05,81.37,86.08
2016-10-02,102.11,101.17,77.12,75.97
2016-10-03,102.18,102.56,80.82,80.89
2016-10-04,114.09,119.19,91.5,91.31
2016-10-05,108.89,108.87,84.18,82.84
2016-10-06,111.64,111.72,86.94,86.37
2016-10-07,117.06,117.83,90.25,87.36
2016-10-08,109.8,110.74,84.33,85.02
2016-10-09,110.82,110.35,83.76,85
2016-10-10,113.59,114.93,90.82,92.85
2016-10-11,116.79,118.63,86.27,88.74
2016-10-12,103.23,106.63,80.37,78.74
2016-11-01,102.6,103.38,79.71,76.85
2016-11-02,102.05,101.08,77.35,76.31
2016-11-03,102.72,102.92,81.09,81.12
2016-11-04,106.25,105.96,85.42,81.24
2016-11-05,108.97,108.89,85.51,83.99
2016-11-06,117.28,120.98,92.13,90.76
2016-11-07,112.23,112.82,85.31,86.49
2016-11-08,109.7,110.81,85.12,86.24
2016-11-09,110.74,110.33,84.55,86.01
2016-11-10,114.08,115.46,90.83,92.92
2016-11-11,116.68,118.31,85.45,87.55
2016-11-12,103.16,106.5,80.93,78.99
2016-12-01,102.7,103.47,79.78,76.69
2016-12-02,101.96,101.08,78.72,77.73
2016-12-03,112.31,118.47,89.77,89.48
2016-12-04,106.68,106.29,85.67,82.15
2016-12-05,109.02,108.96,85.78,83.74
2016-12-06,117.25,120.93,92.35,90.8
2016-12-07,112.31,112.82,85.64,86.5
2016-12-08,110.13,110.83,85.45,86.7
