Date,supermarket-unleaded,supermarket-diesel,unleaded,diesel
2015-01-01,109.59,116.54,112.08,118.74
2015-01-04,109.55,116.35,111.37,118.23
2015-01-05,109.25,116.07,111.34,118.31
2015-01-06,107.6,114.46,110.35,117.54
2015-01-07,107.57,114.44,109.8,117
2015-01-08,107.6,114.45,109.6,116.72
2015-01-11,107.5,114.4,108.9,115.98
2015-01-12,107.12,113.95,108.91,116.11
2015-01-13,105.88,112.96,108.12,115.55
2015-01-14,105.68,112.59,107.76,115.06
2015-01-15,105.56,112.45,107.46,114.81
2015-01-18,105.6,112.42,107.01,114.12
2015-01-19,105.53,112.42,107.05,114.35
2015-01-20,105.54,112.4,107,114.22
2015-01-21,105.48,112.36,106.88,114.05
2015-01-22,105.46,112.32,106.86,114.03
2015-01-25,105.4,112.26,106.6,113.66
2015-01-26,105.37,112.25,106.66,113.88
2015-01-27,105.36,112.21,106.69,113.83
2015-01-28,105.3,112.2,106.6,113.74
2015-01-29,105.28,112.19,106.52,113.75
2015-02-01,105.22,112.08,106.39,113.42
2015-02-02,105.23,112.08,106.47,113.59
2015-02-03,105.18,111.89,106.12,113.29
2015-02-04,105.17,111.89,106.65,113.65
2015-02-05,105.2,111.85,106.39,113.45
2015-02-08,105.26,111.86,107.01,113.87
2015-02-09,105.25,111.84,107.21,114.09
2015-02-10,105.52,112.07,107.46,114.37
2015-02-11,105.63,112.15,107.66,114.5
2015-02-12,105.85,112.39,107.76,114.6
2015-02-15,106.06,112.63,108.12,114.76
2015-02-16,106.12,112.68,108.28,115.06
2015-02-17,106.42,112.99,108.6,115.39
2015-02-18,106.79,113.3,108.83,115.61
2015-02-19,106.84,113.34,108.97,115.74
2015-02-22,107.11,113.68,109.17,115.91
2015-02-23,107.1,113.66,109.34,116.13
2015-02-24,107.38,113.95,109.61,116.38
2015-02-25,107.49,114.07,109.66,116.47
2015-02-26,107.73,114.3,109.73,116.58
2015-03-01,108.05,114.64,109.95,116.65
2015-03-02,108.12,114.63,110.12,116.85
2015-03-03,108.42,115,110.4,117.09
2015-03-04,108.48,115.05,110.52,117.15
2015-03-05,108.68,115.25,110.69,117.31
2015-03-08,108.95,115.53,110.93,117.4
2015-03-09,108.98,115.53,111.07,117.58
2015-03-10,109.33,115.93,111.38,117.78
2015-03-11,109.4,115.97,111.46,117.85
2015-03-12,109.71,116.33,111.61,118.01
2015-03-15,109.88,116.48,111.78,118.05
2015-03-16,109.88,116.48,111.92,118.19
2015-03-17,110.19,116.74,112.02,118.26
2015-03-18,110.27,116.8,112.05,118.28
2015-03-19,110.52,116.96,112.2,118.35
2015-03-22,110.66,117.11,112.21,118.31
2015-03-23,110.69,117.1,112.31,118.47
2015-03-24,110.81,117.17,112.31,118.39
2015-03-25,110.82,117.18,112.5,118.47
2015-03-26,110.87,117.18,112.5,118.43
2015-03-29,110.95,117.23,112.77,118.56
2015-03-30,110.95,117.24,112.92,118.69
2015-03-31,111.03,117.28,113.06,118.73
2015-04-01,111.05,117.29,113.01,118.68
2015-04-06,111.1,117.32,113.15,118.77
2015-04-07,111.09,117.31,113.18,118.84
2015-04-08,111.19,117.31,113.2,118.81
2015-04-09,111.23,117.33,113.29,118.82
2015-04-12,111.36,117.39,113.19,118.69
2015-04-13,111.33,117.38,113.29,118.83
2015-04-14,111.41,117.41,113.36,118.85
2015-04-15,111.42,117.41,113.35,118.76
2015-04-16,111.5,117.42,113.49,118.92
2015-04-19,111.59,117.46,113.73,118.94
2015-04-20,111.6,117.45,113.91,119.1
2015-04-21,111.72,117.49,114.09,119.19
2015-04-22,111.86,117.53,114.24,119.25
2015-04-23,112.03,117.58,114.26,119.2
2015-04-26,112.24,117.67,114.52,119.38
2015-04-27,112.25,117.65,114.73,119.51
2015-04-28,112.38,117.71,113.87,118.88
2015-04-29,112.45,117.79,114.89,119.5
2015-04-30,112.62,118.1,115.14,119.8
2015-05-04,112.88,118.13,115.26,119.81
2015-05-05,112.91,118.14,115.39,119.9
2015-05-06,113.19,118.35,115.61,120.02
2015-05-07,113.3,118.42,115.78,120.14
2015-05-10,113.65,118.62,115.9,120.25
2015-05-11,113.65,118.63,116.05,120.37
2015-05-12,113.94,118.8,116.14,120.41
2015-05-13,113.99,118.87,116.2,120.51
2015-05-14,114.19,119.01,116.32,120.58
2015-05-17,114.38,119.17,116.31,120.61
2015-05-18,114.42,119.16,116.42,120.7
2015-05-19,114.53,119.23,116.48,120.77
2015-05-20,114.58,119.26,116.43,120.65
2015-05-21,114.66,119.31,116.49,120.74
2015-05-25,114.84,119.39,116.71,120.85
2015-05-26,114.84,119.39,116.76,120.88
2015-05-27,114.88,119.42,116.75,120.89
2015-05-28,114.9,119.42,116.19,120.45
2015-05-31,114.88,119.4,116.66,120.84
2015-06-01,114.91,119.4,116.75,120.93
2015-06-02,114.93,119.42,116.83,120.97
2015-06-03,114.96,119.42,116.8,120.89
2015-06-04,114.96,119.44,116.44,120.55
2015-06-07,114.97,119.44,116.8,120.82
2015-06-08,114.89,119.35,116.11,120.36
2015-06-09,115,119.42,116.87,120.87
2015-06-10,114.99,119.38,116.97,120.95
2015-06-11,115.01,119.37,116.55,120.57
2015-06-14,115,119.35,117.13,120.88
2015-06-15,114.99,119.35,117.19,121
2015-06-16,114.99,119.34,116.73,120.58
2015-06-17,115.02,119.34,117.17,120.89
2015-06-18,115,119.32,116.73,120.58
2015-06-21,115.07,119.39,117.27,120.96
2015-06-22,115,119.29,117.28,120.98
2015-06-23,115,119.13,117.25,120.93
2015-06-24,115.03,119.11,117.24,120.9
2015-06-25,115,118.98,117.15,120.75
2015-06-28,114.96,118.85,117.06,120.66
2015-06-29,114.95,118.85,117.15,120.75
2015-06-30,114.97,118.81,117.05,120.63
2015-07-01,114.96,118.8,117.09,120.64
2015-07-02,115,118.78,117.07,120.63
2015-07-05,114.97,118.46,117.07,120.45
2015-07-06,114.96,118.45,117.11,120.51
2015-07-07,114.94,118.23,117.12,120.45
2015-07-08,114.96,118.17,116.51,119.84
2015-07-09,114.94,116.25,117.11,119.79
2015-07-12,114.93,116.13,117.09,119.22
2015-07-13,115.22,116.13,117.24,119.33
2015-07-14,115.33,116.09,117.25,119.12
2015-07-15,115.38,116.08,117.24,118.98
2015-07-16,115.48,116.08,116.77,118.23
2015-07-19,115.48,116.08,117.1,118.33
2015-07-20,115.51,115.3,117.17,118.27
2015-07-21,115.48,114.52,117.08,117.83
2015-07-22,115.39,114.38,117.09,117.56
2015-07-23,115.24,114.35,116.96,117.26
2015-07-26,115.01,114.27,116.63,116.66
2015-07-27,114.97,113.68,116.75,116.61
2015-07-28,114.97,112.99,116.64,116.28
2015-07-29,114.9,112.8,116.44,115.87
2015-07-30,114.88,112.76,116.51,115.74
2015-08-02,114.98,112.75,116.41,115.24
2015-08-03,114.78,112.42,116.33,115.18
2015-08-04,114.61,112.36,116.23,115.03
2015-08-05,114.5,112.26,116.12,114.83
2015-08-06,114.43,112.25,115.97,114.62
2015-08-09,113.65,110.82,115.58,113.77
2015-08-10,113.62,109.65,115.7,113.53
2015-08-11,113.46,109.29,115.24,112.95
2015-08-12,113.22,108.65,115.35,112.98
2015-08-13,113.4,109.12,115.07,112.48
2015-08-16,113.35,108.9,114.73,111.65
2015-08-17,113.34,108.87,114.84,111.93
2015-08-18,113.31,108.81,114.79,111.69
2015-08-19,113.29,108.77,114.17,111.06
2015-08-20,113.46,109,114.67,111.58
2015-08-23,111.38,108.62,113.49,110.87
2015-08-24,111.31,108.6,113.56,111.07
2015-08-25,111.25,108.49,113.19,110.8
2015-08-26,111.24,108.45,113.11,110.71
2015-08-27,109.76,107.63,112.42,110.4
2015-08-31,109.33,107.49,111.7,109.86
2015-09-01,109.32,107.44,110.62,109.24
2015-09-02,109.26,107.43,111.5,109.91
2015-09-03,109.24,107.4,111.32,109.82
2015-09-06,109.24,107.39,111.25,109.76
2015-09-07,109.21,107.38,111.25,109.99
2015-09-08,109.24,107.73,111.23,110.15
2015-09-09,109.24,107.75,111.15,110.05
2015-09-10,109.24,107.93,111.22,110.27
2015-09-13,109.21,108.05,111.16,110.16
2015-09-14,109.2,108.03,111.16,110.41
2015-09-15,109.14,108.07,110.96,110.31
2015-09-16,109.1,108.07,110.97,110.36
2015-09-17,109.09,108.08,110.92,110.37
2015-09-20,109.03,108.1,109.93,109.38
2015-09-21,109.08,108.09,110.82,110.35
2015-09-22,109.04,108.11,110.74,110.33
2015-09-23,108.38,108.1,110.5,110.16
2015-09-24,107.24,108.12,110.01,110.27
2015-09-27,107.13,108.13,109.68,110.13
2015-09-28,107.12,108.11,109.65,110.29
2015-09-29,107.09,108.14,109.63,110.36
2015-09-30,107.09,108.13,109.45,110.26
2015-10-01,107.09,108.14,109.31,110.19
2015-10-04,107.07,108.18,109.3,110.24
2015-10-05,107.09,108.16,108.4,109.67
2015-10-06,107.1,108.18,109.31,110.35
2015-10-07,107.09,108.19,109.26,110.34
2015-10-08,107.1,108.22,109.35,110.49
2015-10-11,107.14,108.56,109.29,110.51
2015-10-12,107.11,108.55,109.35,110.69
2015-10-13,107.12,108.84,109.26,110.74
2015-10-14,107.15,108.86,109.27,110.77
2015-10-15,107.11,108.92,108.3,110.29
2015-10-18,107.19,108.98,109.26,110.81
2015-10-19,107.11,108.97,109.21,110.96
2015-10-20,107.04,108.96,109.15,110.88
2015-10-21,106.25,108.11,108.81,110.6
2015-10-22,106.17,108.03,108.65,110.46
2015-10-25,106.11,107.97,108.41,110.19
2015-10-26,105.99,107.9,108.41,110.31
2015-10-27,105.35,107.64,108.13,110.21
2015-10-28,105.28,107.63,107.86,109.99
2015-10-29,105.21,107.48,107.82,109.95
2015-11-01,105.2,107.42,107.67,109.77
2015-11-02,105.29,107.51,108.01,110.08
2015-11-03,105.17,107.42,107.72,109.84
2015-11-04,105.18,107.49,107.77,109.95
2015-11-05,105.2,107.5,107.83,109.96
2015-11-08,105.26,107.65,107.74,109.92
2015-11-09,105.21,107.64,107.86,110.04
2015-11-10,105.26,107.7,106.92,109.5
2015-11-11,105.33,107.76,107.96,110.15
2015-11-12,105.51,107.91,107.9,110.09
2015-11-15,105.57,107.96,107.98,110.11
2015-11-16,105.53,107.96,108.01,110.24
2015-11-17,105.7,108.16,108.03,110.26
2015-11-18,105.66,108.13,108.1,110.33
2015-11-19,105.51,107.99,107.95,110.15
2015-11-22,105.47,107.94,107.77,109.94
2015-11-23,105.52,107.96,107.18,109.69
2015-11-24,105.39,107.97,107.9,110.07
2015-11-25,105.55,108.03,107.83,110.14
2015-11-26,105.24,107.87,107.74,109.93
2015-11-29,103.95,106.92,106.98,109.48
2015-11-30,105.08,107.76,107.55,109.86
2015-12-01,105.04,107.76,107.44,109.89
2015-12-02,104.94,107.71,106.72,109.34
2015-12-03,104.94,107.7,106.37,109.18
2015-12-06,104.96,107.63,107.21,109.55
2015-12-07,104.81,107.46,107.12,109.64
2015-12-08,104.22,106.79,106.88,109.4
2015-12-09,103.12,105.85,106.34,108.88
2015-12-10,103.09,105.8,106.15,108.73
2015-12-13,99.96,104.94,102.36,106.94
2015-12-14,99.92,104.78,104.37,107.72
2015-12-15,99.97,104.95,104.1,107.45
2015-12-16,99.92,104.73,103.8,107.14
2015-12-17,99.89,104.71,102.06,106.39
2015-12-20,99.88,104.66,103.22,106.49
2015-12-21,99.88,104.65,103.23,106.63
2015-12-22,99.88,104.62,103.16,106.5
2015-12-23,99.87,104.62,102.22,106.04
2015-12-28,99.88,104.58,102.85,106.15
2015-12-29,99.88,104.57,102.84,106.19
2015-12-30,99.9,104.57,102.89,106.18
2016-01-03,99.87,104.41,102.69,105.99
2016-01-04,99.89,99.91,102.82,104.69
2016-01-05,99.88,99.86,102.8,104.27
2016-01-06,99.87,99.79,102.92,103.98
2016-01-07,99.88,99.79,102.79,103.71
2016-01-10,99.9,99.8,102.6,103.38
2016-01-11,99.88,99.78,102.7,103.47
2016-01-12,99.88,99.79,102.5,103.21
2016-01-13,99.88,99.79,102.52,103.19
2016-01-14,99.87,99.79,102.48,103.13
2016-01-17,99.87,99.79,102.25,102.6
2016-01-18,99.9,99.81,102.45,102.9
2016-01-19,99.88,99.79,102.23,102.56
2016-01-20,99.88,99.79,102.12,102.32
2016-01-21,99.88,99.79,102.19,102.33
2016-01-24,99.88,97.98,101.86,101.18
2016-01-25,99.87,97.98,102.06,101.42
2016-01-26,99.87,97.96,101.93,101.12
2016-01-27,99.87,97.96,101.98,101.15
2016-01-28,99.87,97.96,102.01,101.05
2016-01-31,99.88,97.96,,
2016-02-01,99.87,97.95,102.09,101.11
2016-02-02,99.87,98.17,102.28,101.18
2016-02-03,99.87,98.22,102.25,101.19
2016-02-04,99.87,98.22,102.08,101.08
2016-02-07,99.85,98.19,102.14,100.93
2016-02-08,99.83,98.18,102.11,101.18
2016-02-09,99.83,98.2,102.11,101.18
2016-02-10,99.83,98.19,102.05,101.08
2016-02-11,99.83,98.18,101.96,101.08
